('\ufeffÌRÌNKÈRINDÒ', 'NÍNÚ') 1
('tẹ', 'ìwé') 7
('ìwé', 'ní') 12
('ilẹ́', 'Gẹ̀ẹ́sì') 1
('Gẹ̀ẹ́sì', 'Ṣùgbọ́n') 2
('Ṣùgbọ́n', 'ìwà') 2
('ìwà', 'kìí') 1
('kìí', 'fi') 4
('fi', 'oníwà') 1
('oníwà', 'sílẹ̀') 1
('sílẹ̀', 'agódóńgbó') 1
('agódóńgbó', 'inú') 1
('inú', 'ẹtu') 1
('ẹtu', 'ń') 1
('ń', 'bá') 379
('bá', 'ẹtu') 1
('ẹtu', 'lọ') 1
('lọ', 'Ọgbẹ́ni') 1
('Ọgbẹ́ni', 'Murby') 1
('Murby', 'ń') 1
('ń', 'ti') 62
('ti', 'ìgbéga') 1
('ìgbéga', 'dé') 2
('dé', 'ìgbéga') 2
('ìgbéga', 'ní') 1
('ní', 'ibi') 283
('ibi', 'iṣẹ́') 25
('iṣẹ́', 'rrẹ̀') 1
('rrẹ̀', 'Àpẹẹrẹ') 1
('wa', 'Ọ̀gbẹ́ni') 2
('Ọ̀gbẹ́ni', 'D') 1
('D', 'R') 1
('R', 'G') 1
('G', 'Gwynne-') 1
('Gwynne-', 'Jones') 1
('Jones', 'ni') 1
('ọ̀gá', 'Ile') 1
('Ile', 'Ẹ̀kọ́') 1
('Ẹ̀kọ́', 'gíga') 1
('gíga', 'ti') 9
('ti', 'ìjọba') 35
('ìjọba', 'ní') 16
('ní', 'Ìbàdàn') 6
('Ìbàdàn', 'tí') 2
('kọ́', 'àwọn') 72
('ní', 'iṣẹ́') 44
('iṣẹ́', 'olùkọ́') 9
('olùkọ́', 'Ìgbà') 1
('tí', 'ọkùnrin') 84
('ọkùnrin', 'yìí') 169
('yìí', 'dé') 19
('dé', 'ọdún') 5
('ọdún', 'méjì') 48
('méjì', 'ni') 48
('àwọn', 'akẹ́kọ̀ọ́') 37
('akẹ́kọ̀ọ́', 'ń') 2
('ń', 'lò') 191
('lò', 'ilé') 1
('ilé', 'tí') 164
('fún', 'ìlò') 13
('ìlò', 'àwọn') 4
('akẹ́kọ̀ọ́', 'kò') 1
('kò', 'ju') 39
('ju', 'ìba') 1
('ìba', 'díẹ̀') 5
('díẹ̀', 'lọ') 2
('lọ', 'Lónìí') 2
('Lónìí', 'àwọn') 1
('ń', 'lo') 115
('lo', 'ọdún') 10
('ọdún', 'mẹ́rin') 8
('mẹ́rin', 'ilé') 1
('ilé', 'pọ̀') 2
('pọ̀', 'lọ') 4
('lọ', 'bẹẹrẹ') 5
('bẹẹrẹ', 'fún') 1
('fún', 'iló') 2
('iló', 'wọn') 1
('wọn', 'Bẹ́ẹ̀') 30
('bí', 'nǹkan') 9
('nǹkan', 'bá') 4
('bá', 'ti') 417
('ń', 'tóbi') 3
('tóbi', 'tó') 25
('tó', 'ni') 28
('ni', 'iṣoro') 1
('iṣoro', 'rẹ') 1
('rẹ', 'ń') 55
('tó', 'ṣùgbọ́n') 5
('ṣùgbọ́n', 'Gwynne-Jones') 1
('Gwynne-Jones', 'borí') 1
('borí', 'ìṣoro') 1
('ìṣoro', 'tírẹ̀') 1
('tírẹ̀', 'patapata') 1
('patapata', 'Lóòótọ́') 1
('Lóòótọ́', 'ó') 5
('ìwé', 'dáadáa') 1
('dáadáa', 'a') 8
('a', 'sì') 1120
('sì', 'máa') 747
('máa', 'ṣe') 404
('ṣe', 'ètò') 38
('ètò', 'daadaa') 1
('daadaa', 'bẹ́ẹ̀') 1
('ni', 'a') 1681
('máa', 'ṣíṣọ́') 1
('ṣíṣọ́', 'bí') 1
('ti', 'yẹ') 59
('yẹ', 'ṣùgbọ́n') 3
('ṣùgbọ́n', 'ohun') 20
('ohun', 'pàtàkì') 5
('ti', 'ọkùnrin') 7
('náà', 'lẹ́yìn') 14
('lẹ́yìn', 'jù') 1
('jù', 'ni') 27
('ni', 'ti') 88
('ti', 'Ọlọ́run') 89
('Ọlọ́run', 'tí') 135
('ó', 'gbà') 101
('gbà', 'gbọ́') 2
