('\ufeffÌRÌNKÈRINDÒ', 'NÍNÚ', 'ÌGBO') 1
('wa', 'Bí', 'ẹ̀rù') 1
('Bí', 'ẹ̀rù', 'bá') 1
('ẹ̀rù', 'bá', 'ń') 1
('bá', 'ń', 'bà') 2
('ń', 'bà', 'ọ́') 3
('bà', 'ọ́', 'láti') 2
('ọ́', 'láti', 'sọ') 2
('láti', 'sọ', 'òótọ́') 1
('sọ', 'òótọ́', 'máṣe') 1
('òótọ́', 'máṣe', 'gbàgbé') 1
('máṣe', 'gbàgbé', 'Bísọ̀bù') 1
('gbàgbé', 'Bísọ̀bù', 'Phillips') 1
('Bísọ̀bù', 'Phillips', 'olódodo') 1
('Phillips', 'olódodo', 'nítorí') 1
('olódodo', 'nítorí', 'Bísọ̀bù') 1
('nítorí', 'Bísọ̀bù', 'yìí') 1
('Bísọ̀bù', 'yìí', 'tí') 1
('yìí', 'tí', 'ó') 39
('tí', 'ó', 'jẹ́') 512
('ó', 'jẹ́', 'asáájú') 1
('jẹ́', 'asáájú', 'pàtàkì') 1
('asáájú', 'pàtàkì', 'fún') 1
('pàtàkì', 'fún', 'ni') 1
('fún', 'ni', 'kò') 1
('ni', 'kò', 'fi') 8
('kò', 'fi', 'èké') 1
('fi', 'èké', 'kọ́') 1
('èké', 'kọ́', 'ìwọ́') 1
('kọ́', 'ìwọ́', 'àti') 1
('ìwọ́', 'àti', 'èmi') 1
('àti', 'èmi', 'Ọba') 1
('èmi', 'Ọba', 'Ọlagbegi') 1
('Ọba', 'Ọlagbegi', 'II') 2
('Ọlagbegi', 'II', 'tí') 1
('II', 'tí', 'ó') 1
('ó', 'jẹ́', 'Ọlọ́wọ̀') 1
('jẹ́', 'Ọlọ́wọ̀', 'ní') 1
('Ọlọ́wọ̀', 'ní', 'ọ̀wọ̀') 1
('ní', 'ọ̀wọ̀', 'lónìí') 1
('ọ̀wọ̀', 'lónìí', 'jẹ́') 1
('lónìí', 'jẹ́', 'ẹni') 1
('jẹ́', 'ẹni', 'àkíyèsí') 1
('ẹni', 'àkíyèsí', 'pàtàkì') 1
('àkíyèsí', 'pàtàkì', 'kan') 1
('pàtàkì', 'kan', 'Ìgbésí') 1
('kan', 'Ìgbésí', 'ayé') 1
('Ìgbésí', 'ayé', 'rẹ̀') 1
('ayé', 'rẹ̀', 'fi') 1
('rẹ̀', 'fi', 'hàn') 2
('hàn', 'ni', 'ohun') 1
('ni', 'ohun', 'tí') 310
('ohun', 'tí', 'ènìyàn') 13
('tí', 'ènìyàn', 'lè') 12
('ènìyàn', 'lè', 'fi') 5
('lè', 'fi', 'ọwọ́') 11
('fi', 'ọwọ́', 'ara') 16
('ọwọ́', 'ara', 'rẹ̀') 9
('ara', 'rẹ̀', 'ṣe') 5
('rẹ̀', 'ṣe', 'Ta') 1
('ṣe', 'Ta', 'ni') 2
('ó', 'lè', 'gbọ́') 1
('lè', 'gbọ́', 'kí') 2
('gbọ́', 'kí', 'Olọ́wọ̀') 1
('kí', 'Olọ́wọ̀', 'sọ') 1
('Olọ́wọ̀', 'sọ', 'èdè') 1
('sọ', 'èdè', 'Gẹ̀ẹ́sì') 1
('èdè', 'Gẹ̀ẹ́sì', 'tí') 3
('Gẹ̀ẹ́sì', 'tí', 'kò') 2
('tí', 'kò', 'ní') 186
('kò', 'ní', 'rò') 1
('ní', 'rò', 'pé') 1
('pé', 'ó', 'ti') 83
('ó', 'ti', 'jáde') 8
('ti', 'jáde', 'ní') 3
('jáde', 'ní', 'fásitì') 1
('ní', 'fásitì', 'tàbí') 1
('fásitì', 'tàbí', 'pé') 1
('tàbí', 'pé', 'wọ́n') 3
('pé', 'wọ́n', 'bíi') 1
('wọ́n', 'bíi', 'sí') 1
('bíi', 'sí', 'ilẹ̀') 1
('sí', 'ilẹ̀', 'Gẹ̀ẹ́sì') 1
('ilẹ̀', 'Gẹ̀ẹ́sì', 'ni') 4
('Gẹ̀ẹ́sì', 'ni', 'Bẹ́ẹ̀') 1
('ni', 'Bẹ́ẹ̀', 'ni') 9
('Bẹ́ẹ̀', 'ni', 'ó') 45
('ni', 'ó', 'kọ́') 11
('ó', 'kọ́', 'nǹkan') 1
('kọ́', 'nǹkan', 'rẹ̀') 1
('nǹkan', 'rẹ̀', 'fún') 2
('rẹ̀', 'fún', 'ara') 4
('fún', 'ara', 'rẹ̀') 75
('ara', 'rẹ̀', 'ni') 17
('rẹ̀', 'ni', 'kò') 3
('ni', 'kò', 'sí') 43
('kò', 'sí', 'ẹni') 118
('sí', 'ẹni', 'tí') 199
('ó', 'lè', 'dé') 4
('lè', 'dé', 'ọ̀wọ̀') 1
('dé', 'ọ̀wọ̀', 'lónìí') 1
('ọ̀wọ̀', 'lónìí', 'ti') 1
('lónìí', 'ti', 'yóò') 1
('ti', 'yóò', 'bojúwo') 1
('yóò', 'bojúwo', 'ẹ̀yìn') 1
('bojúwo', 'ẹ̀yìn', 'tí') 1
('ẹ̀yìn', 'tí', 'àyípadà') 1
('tí', 'àyípadà', 'rere') 1
('àyípadà', 'rere', 'gbogbo') 1
('rere', 'gbogbo', 'tí') 3
('gbogbo', 'tí', 'ó') 80
('tí', 'ó', 'dé') 62
('ó', 'dé', 'lákòókò') 1
('dé', 'lákòókò', 'Ọlagbegi') 1
('lákòókò', 'Ọlagbegi', 'II') 1
('Ọlagbegi', 'II', 'kò') 1
('II', 'kò', 'ní') 1
('kò', 'ní', 'yà') 2
('ní', 'yà', 'lẹnu') 1
('yà', 'lẹnu', 'bẹ́ẹ̀') 1
('lẹnu', 'bẹ́ẹ̀', 'ni') 2
('bẹ́ẹ̀', 'ni', 'kò') 72
('kò', 'sí', 'ọmọ') 2
('sí', 'ọmọ', 'Yorùbá') 2
('ọmọ', 'Yorùbá', 'tí') 3
('Yorùbá', 'tí', 'yòó') 1
('tí', 'yòó', 'gbọ́') 1
('yòó', 'gbọ́', 'kí') 1
('gbọ́', 'kí', 'Ọlọ́wwọ̀') 1
('kí', 'Ọlọ́wwọ̀', 'yìí') 1
('Ọlọ́wwọ̀', 'yìí', 'sọ̀rọ̀') 1
('yìí', 'sọ̀rọ̀', 'láàrin') 1
('sọ̀rọ̀', 'láàrin', 'àwọn') 1
('láàrin', 'àwọn', 'ìgbìímọ̀') 1
('àwọn', 'ìgbìímọ̀', 'pàtàkì') 1
('ìgbìímọ̀', 'pàtàkì', 'gbogbo') 1
('pàtàkì', 'gbogbo', 'tí') 2
('tí', 'ó', 'máa') 52
('ó', 'máa', 'ń') 130
('máa', 'ń', 'lọ') 33
('ń', 'lọ', 'tí') 6
('lọ', 'tí', 'kò') 7
('kò', 'ní', 'fi') 39
('ní', 'fi', 'ọba') 1
('fi', 'ọba', 'yìí') 1
('ọba', 'yìí', 'ṣe') 1
('yìí', 'ṣe', 'fọ́rífọ́rí') 1
('ṣe', 'fọ́rífọ́rí', 'Ọba') 1
('fọ́rífọ́rí', 'Ọba', 'Ọlagbegi') 1
('Ọlagbegi', 'II', 'kúrù') 1
('II', 'kúrù', 'ní') 1
('kúrù', 'ní', 'ǹǹkan') 1
('ní', 'ǹǹkan', 'yẹpẹrẹ') 1
('ǹǹkan', 'yẹpẹrẹ', 'àfi') 1
('yẹpẹrẹ', 'àfi', 'bí') 1
('àfi', 'bí', 'a') 7
('a', 'bá', 'máa') 7
('bá', 'máa', 'tan') 1
('máa', 'tan', 'ara') 1
('tan', 'ara', 'ẹni') 2
('ara', 'ẹni', 'jẹ') 2
('ẹni', 'jẹ', 'Omidan') 1
('jẹ', 'Omidan', 'J') 1
('Omidan', 'J', 'A') 1
('J', 'A', 'Mars') 1
('A', 'Mars', 'pẹ́') 1
('Mars', 'pẹ́', 'púpọ̀') 1
('pẹ́', 'púpọ̀', 'ní') 1
('púpọ̀', 'ní', 'ilẹ̀') 5
('ilẹ̀', 'wa', 'ó') 3
('wa', 'ó', 'dúró') 1
('ó', 'dúró', 'gẹ́gẹ́') 7
('dúró', 'gẹ́gẹ́', 'bí') 22
('gẹ́gẹ́', 'bí', 'àna') 1
('bí', 'àna', 'fún') 1
('àna', 'fún', 'púpọ̀') 1
('fún', 'púpọ̀', 'nínú') 3
('púpọ̀', 'nínú', 'ọmọ') 1
('nínú', 'ọmọ', 'Yorùbá') 1
('ọmọ', 'Yorùbá', 'nítorí') 1
('Yorùbá', 'nítorí', 'ọ̀pọ̀lọpọ̀') 1
('nítorí', 'ọ̀pọ̀lọpọ̀', 'àwọn') 3
('ọ̀pọ̀lọpọ̀', 'àwọn', 'obìnrin') 2
('àwọn', 'obìnrin', 'tí') 24
('obìnrin', 'tí', 'o') 6
('o', 'ti', 'kọ́') 1
('ti', 'kọ́', 'ni') 3
('kọ́', 'ni', 'wọ́n') 1
('ni', 'wọ́n', 'ń') 106
('wọ́n', 'ń', 'pè') 19
('ń', 'pè', 'é') 29
('pè', 'é', 'ní') 56
('é', 'ní', 'ìyá') 2
('ní', 'ìyá', 'tí') 1
('ìyá', 'tí', 'wọ́n') 1
('tí', 'wọ́n', 'sì') 378
('wọ́n', 'sì', 'ti') 124
('sì', 'ti', 'di') 36
('ti', 'di', 'ìyàwó') 1
('di', 'ìyàwó', 'ènìyàn') 1
('ìyàwó', 'ènìyàn', 'pàtàkì') 1
('ènìyàn', 'pàtàkì', 'káàkiri') 1
('pàtàkì', 'káàkiri', 'Gbogbo') 1
('káàkiri', 'Gbogbo', 'agbára') 1
('Gbogbo', 'agbára', 'ni') 2
('agbára', 'ni', 'obìnrin') 1
('ni', 'obìnrin', 'náà') 16
('obìnrin', 'náà', 'fi') 3
('náà', 'fi', 'ń') 3
('fi', 'ń', 'ṣiṣẹ́') 6
('ń', 'ṣiṣẹ́', 'lọ́dọ̀') 2
('ṣiṣẹ́', 'lọ́dọ̀', 'wa') 1
('lọ́dọ̀', 'wa', 'bẹ́ẹ̀') 1
('wa', 'bẹ́ẹ̀', 'ni') 8
('bẹ́ẹ̀', 'ni', 'ọ̀pọ̀lọpọ̀') 2
('ni', 'ọ̀pọ̀lọpọ̀', 'ọmọ') 2
('ọ̀pọ̀lọpọ̀', 'ọmọ', 'tí') 1
('ọmọ', 'tí', 'wọ́n') 3
('tí', 'wọ́n', 'bí') 8
('wọ́n', 'bí', 'lójú') 1
('bí', 'lójú', 'rẹ̀') 1
('lójú', 'rẹ̀', 'tiwọ') 1
('rẹ̀', 'tiwọ', 'ilé') 1
('tiwọ', 'ilé', 'ọkọ') 1
('ilé', 'ọkọ', 'láti') 1
('ọkọ', 'láti', 'ọjọ́') 1
('láti', 'ọjọ́', 'pépẹ́') 1
('ọjọ́', 'pépẹ́', 'a') 1
('pépẹ́', 'a', 'kò') 1
('a', 'kò', 'gbọdọ̀') 5
('kò', 'gbọdọ̀', 'gbàgbé') 1
('gbọdọ̀', 'gbàgbé', 'obìnrin') 1
('gbàgbé', 'obìnrin', 'yìí') 1
('obìnrin', 'yìí', 'láéláé') 1
('yìí', 'láéláé', 'Omidan') 1
('láéláé', 'Omidan', 'T') 1
('Omidan', 'T', 'V') 1
('T', 'V', 'Herklots') 1
('V', 'Herklots', 'jẹ́') 1
('Herklots', 'jẹ́', 'obìnrin') 1
('jẹ́', 'obìnrin', 'tí') 6
('tí', 'o', 'mọ') 3
('o', 'mọ', 'ìwé') 1
('mọ', 'ìwé', 'lọpọlọpọ') 1
('ìwé', 'lọpọlọpọ', 'Obìnrin') 1
('lọpọlọpọ', 'Obìnrin', 'yìí') 1
('Obìnrin', 'yìí', 'kò') 1
('yìí', 'kò', 'ba') 2
('kò', 'ba', 'tì') 1
('ba', 'tì', 'ṣiṣẹ') 1
('tì', 'ṣiṣẹ', 'lábẹ́') 1
('ṣiṣẹ', 'lábẹ́', 'C') 1
('lábẹ́', 'C', 'M') 1
('C', 'M', 'S') 1
('M', 'S', 'bí') 1
('S', 'bí', 'ó') 1
('bí', 'ó', 'bá') 159
('ó', 'bá', 'ṣe') 83
('bá', 'ṣe', 'pé') 41
('ṣe', 'pé', 'owó') 1
('pé', 'owó', 'ló') 1
('owó', 'ló', 'ń') 1
('ló', 'ń', 'wá') 2
('ń', 'wá', 'kiri') 4
('wá', 'kiri', 'Lónìí') 1
('kiri', 'Lónìí', 'òun') 1
('Lónìí', 'òun', 'ni') 1
('òun', 'ni', 'Alága') 1
('ni', 'Alága', 'ìpàdé') 1
('Alága', 'ìpàdé', 'àwọn') 2
('ìpàdé', 'àwọn', 'alákòóso') 1
('àwọn', 'alákòóso', 'ẹ̀kọ́') 1
('alákòóso', 'ẹ̀kọ́', 'tí') 1
('ẹ̀kọ́', 'tí', 'wọ́n') 1
('tí', 'wọ́n', 'jẹ́') 64
('wọ́n', 'jẹ́', 'ènìyàn') 1
('jẹ́', 'ènìyàn', 'pàtàkì') 4
('ènìyàn', 'pàtàkì', 'gbogbo') 1
('pàtàkì', 'gbogbo', 'ní') 1
('gbogbo', 'ní', 'ilẹ̀') 1
('ní', 'ilẹ̀', 'Yorùbá') 22
('ilẹ̀', 'Yorùbá', 'bẹ́ẹ̀') 1
('Yorùbá', 'bẹ́ẹ̀', 'ni') 3
('bẹ́ẹ̀', 'ni', 'ìgbésí') 1
('ni', 'ìgbésí', 'ayé') 2
('ìgbésí', 'ayé', 'obìnrin') 1
('ayé', 'obìnrin', 'náà') 1
('náà', 'fi', 'hàn') 3
('ni', 'pé', 'nǹkan') 2
('pé', 'nǹkan', 'mìíràn') 2
('nǹkan', 'mìíràn', 'wà') 1
('mìíràn', 'wà', 'tí') 4
('wà', 'tí', 'o') 5
('tí', 'o', 'lágbára') 2
('o', 'lágbára', 'jú') 1
('lágbára', 'jú', 'owó') 1
('jú', 'owó', 'lọ') 1
('owó', 'lọ', 'Kí') 2
('lọ', 'Kí', 'ènìyàn') 1
('Kí', 'ènìyàn', 'mu') 1
('ènìyàn', 'mu', 'kí') 2
('mu', 'kí', 'ayé') 1
('kí', 'ayé', 'ọmọ') 2
('ayé', 'ọmọ', 'ẹlòmíràn') 1
('ọmọ', 'ẹlòmíràn', 'dára') 1
('ẹlòmíràn', 'dára', 'lágbára') 1
('dára', 'lágbára', 'ju') 1
('lágbára', 'ju', 'ohun') 1
('ju', 'ohun', 'gbogbo') 5
('ohun', 'gbogbo', 'Ó') 1
('gbogbo', 'Ó', 'tun') 1
('Ó', 'tun', 'fi') 1
('tun', 'fi', 'han') 1
('fi', 'han', 'ni') 3
('han', 'ni', 'pé') 2
('ni', 'pé', 'obìnrin') 2
('pé', 'obìnrin', 'lè') 2
('obìnrin', 'lè', 'ṣe') 2
('lè', 'ṣe', 'nǹkan') 3
('ṣe', 'nǹkan', 'ńlá') 5
('nǹkan', 'ńlá', 'nítorí') 1
('ńlá', 'nítorí', 'bí') 1
('nítorí', 'bí', 'ó') 11
('bí', 'ó', 'ti') 382
('ó', 'ti', 'jẹ́') 39
('ti', 'jẹ́', 'obìnrin') 1
('jẹ́', 'obìnrin', 'yìí') 1
('obìnrin', 'yìí', 'àwọn') 1
('yìí', 'àwọn', 'ọkùnrin') 3
('àwọn', 'ọkùnrin', 'ńlá') 1
('ọkùnrin', 'ńlá', 'gbogbo') 1
('ńlá', 'gbogbo', 'ń') 1
('gbogbo', 'ń', 'ṣiṣẹ́') 1
('ṣiṣẹ́', 'lábẹ́', 'rẹ̀') 1
('lábẹ́', 'rẹ̀', 'dì') 1
('rẹ̀', 'dì', 'bí') 1
('dì', 'bí', 'a') 1
('sọ̀rọ̀', 'yìí', 'Apẹẹrẹ') 1
('yìí', 'Apẹẹrẹ', 'fún') 1
('Apẹẹrẹ', 'fún', 'àwọn') 1
('fún', 'àwọn', 'òbí') 16
('àwọn', 'òbí', 'ní') 3
('òbí', 'ní', 'èyí') 1
('ní', 'èyí', 'L') 1
('èyí', 'L', 'Murby') 1
('L', 'Murby', 'jẹ') 1
('Murby', 'jẹ', 'ọ̀rẹ́') 1
('jẹ', 'ọ̀rẹ́', 'ọ̀pọ̀lọpọ̀') 1
('ọ̀rẹ́', 'ọ̀pọ̀lọpọ̀', 'àwọn') 1
('ọ̀pọ̀lọpọ̀', 'àwọn', 'ọmọ') 4
('àwọn', 'ọmọ', 'Yorùbá') 5
('ọmọ', 'Yorùbá', 'o') 1
('Yorùbá', 'o', 'fi') 1
('o', 'fi', 'ìwà') 1
('fi', 'ìwà', 'rẹ̀') 1
('ìwà', 'rẹ̀', 'fà') 1
('rẹ̀', 'fà', 'wọ́n') 1
('fà', 'wọ́n', 'mọ́ra') 1
('wọ́n', 'mọ́ra', 'ó') 1
('mọ́ra', 'ó', 'jẹ́') 1
('ó', 'jẹ́', 'àpẹẹrẹ') 1
('jẹ́', 'àpẹẹrẹ', 'pé') 1
('àpẹẹrẹ', 'pé', 'ènìyàn') 1
('pé', 'ènìyàn', 'dúdú') 1
('ènìyàn', 'dúdú', 'àti') 3
('dúdú', 'àti', 'ènìyàn') 1
('àti', 'ènìyàn', 'funfun') 1
('ènìyàn', 'funfun', 'lè') 1
('funfun', 'lè', 'jẹ') 1
('lè', 'jẹ', 'ọ̀rẹ́') 1
